as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2025-04-11,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-14,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-15,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-16,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-17,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-21,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-22,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-23,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-24,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-25,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-28,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-29,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-04-30,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-01,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-02,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-05,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-06,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-07,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-08,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-09,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-12,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-13,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-14,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-15,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-16,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-19,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-20,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-21,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-22,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-23,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-26,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-27,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-28,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-29,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-05-30,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-02,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-03,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-04,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-05,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-06,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-09,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-10,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-11,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-12,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-13,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-16,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-17,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-18,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-20,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-23,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-24,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-25,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-26,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-27,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-06-30,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-01,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-02,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-03,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-04,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-07,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-08,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-09,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-10,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-11,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-14,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-15,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-16,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-17,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-18,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-21,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-22,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
2025-07-23,hephaestus_10000,Hephaestus,10000.0,defense,14238.348225434676,14238.348225434676,14238.348225434676,0,0,
