date,N_used,p1,deff,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,top5,cluster_count,largest_share,entropy,turnover_pair_frac,p1_shuffle,deff_shuffle,structure_score,p1_bootstrap,deff_bootstrap,structure_score_bootstrap,eigvec_overlap_1d,eigvec_instability_1d,insufficient_universe
2020-07-09,470,0.560737886981824,3.0986606409494994,263.5468068814573,31.916994891473777,13.195905505651774,11.80789297033809,9.363638953747916,8.069888120567217,6.762808232285146,6.2919836534392095,5.845548498179538,5.435075936876237,0.7017685940482316,42,0.7808510638297872,1.1920094497475184,0.05335934310211859,,,,,,,,,False
2020-07-10,470,0.5603836027272538,3.1024412784607787,263.38029328180926,31.882416859675615,13.236934015061308,11.84715577212422,9.377002775032082,8.122928809466188,6.75838283374216,6.291457068429837,5.8418855892107695,5.433868507696535,0.7015400057525587,41,0.7872340425531915,1.1556420478112044,0.03973143401533367,,,,,,,,,False
2020-07-13,470,0.5599221335052715,3.1073604820241383,263.1634027474775,31.857829607759413,13.402226685906003,11.779870797569288,9.36200294855438,8.124697210375004,6.75233818472048,6.304571275730211,5.826443115168105,5.424313189330134,0.7012028357175888,44,0.8446808510638298,0.9724788439821704,0.10687293018191717,0.018653318150456216,94.46554706413147,91.89945539746215,0.023577814136347023,86.1815949297088,83.61057876705358,0.9999791258201277,2.087417987228779e-05,False
2020-07-14,470,0.5602093336042242,3.1044620668145595,263.2983867939854,31.8046857199029,13.394740654269357,11.770499983197064,9.353101811604557,8.125132306595493,6.734095127781244,6.298107878705136,5.814933923122608,5.415636136091184,0.701322159495658,42,0.8489361702127659,0.9519882721698992,0.14015333666016422,,,,,,,,,False
2020-07-15,470,0.5602427667843275,3.1037636659647725,263.31410038863385,31.945762023685155,13.431490523711552,11.738316520145228,9.337196205628349,8.112800669410529,6.720722085949701,6.288402599445481,5.791802656296308,5.403024322714928,0.7016316290676685,43,0.7808510638297872,1.1821960228422492,0.054611441273873795,,,,,,,,,False
2020-07-16,470,0.5601950835426146,3.104219565936382,263.2916892650288,31.967436312882604,13.44013391363665,11.708005275525084,9.34728463513807,8.115648721498317,6.722386411956239,6.301159146569807,5.7773376029046,5.395364391316666,0.701605424260024,41,0.774468085106383,1.204096090236752,0.03710021321961621,,,,,,,,,False
2020-07-17,470,0.559816523640039,3.1081551089909762,263.11376611081835,32.024098977815065,13.4046240426289,11.723332545739275,9.346580162877007,8.138602314112795,6.697590341354066,6.294252876859409,5.781494532185593,5.393788213902682,0.7013029826380395,44,0.776595744680851,1.2290796498576029,0.030104795173070815,,,,,,,,,False
2020-07-20,470,0.5592258413879102,3.114222967219651,262.83614545231796,32.024551921532336,13.653795815373137,11.715241422355618,9.366030338888006,8.150396588040572,6.703526680147414,6.29779170354489,5.790226691895459,5.3874872854875715,0.7012675850009933,44,0.7787234042553192,1.2184589616397172,0.12503742684752528,0.01858904818840563,94.88292740992682,92.30934123590669,0.023777692290330405,85.68965073526816,83.11087591714609,0.9999852729251771,1.4727074822862285e-05,False
2020-07-21,470,0.5589163263961292,3.1172904232574843,262.69067340618085,32.06591053251966,13.746651143742362,11.771888653252983,9.421114509166593,8.129771960110453,6.698589208923675,6.3081550294341255,5.761415929646173,5.376470696776177,0.701481357967792,42,0.7680851063829788,1.2503194137167237,0.15413509957809735,,,,,,,,,False
2020-07-22,470,0.5589388024040076,3.1170450452092244,262.7012371298837,32.0398105169125,13.770172753764466,11.845234030048232,9.418149337601065,8.121299368283172,6.693342283972101,6.304657557119146,5.7566418153273755,5.382540670647158,0.7016480931238507,44,0.7829787234042553,1.194288694602942,0.057505784149163,,,,,,,,,False
2020-07-23,470,0.5588491140560989,3.1177366270068614,262.6590836063665,32.0731930416903,13.894310855882765,11.837656362890776,9.44852269453391,8.157692470778517,6.696305438946342,6.295352681550899,5.753370315303839,5.392015507707182,0.7019420565135409,40,0.774468085106383,1.2146901557385048,0.040792995508778296,,,,,,,,,False
2020-07-24,470,0.5589560512979536,3.116688693318438,262.7093441100382,32.04917924311088,13.855046191832354,11.833524200185416,9.462454678488164,8.169421655581377,6.683921687508508,6.298706190096643,5.745172781985441,5.362628197500707,0.7019352094120319,41,0.7893617021276595,1.1488699315009818,0.05304178197160096,,,,,,,,,False
2020-07-27,470,0.5588200337415629,3.1180666314948384,262.64541585853453,32.070871262603994,13.926716182611049,11.812123721662118,9.402204072268674,8.172654605409754,6.703212309125347,6.281944528935449,5.7418456690918696,5.359484376745065,0.7018241087184689,42,0.7978723404255319,1.1081978957433636,0.03756294515265617,0.018547565323936976,95.22184582876646,92.64405166568925,0.02317020185748373,85.85044377272081,83.26802697311004,0.9998600783792508,0.0001399216207491616,False
2020-07-28,470,0.5590397468695518,3.115426152522398,262.7486810286893,32.12104126807411,14.071300895918665,11.706985980315611,9.414880715311753,8.18366138384415,6.778407220475616,6.287513261773241,5.749868422682395,5.371920099558514,0.702261467847467,41,0.7851063829787234,1.1688807049470755,0.03403348001633172,,,,,,,,,False
2020-07-29,470,0.5591866965364205,3.1138501115223045,262.81774737211765,32.14201541577896,14.051015463318777,11.688940099683023,9.402672377085711,8.178477759312493,6.773753395726265,6.277365160756121,5.750824755085798,5.363146570747685,0.7023455121872002,42,0.7936170212765957,1.132892977157096,0.030594746631583722,,,,,,,,,False
2020-07-30,470,0.5588287344543461,3.1176979968754077,262.6495051935427,32.137174411022315,14.070522411135983,11.71240235974878,9.422286930925349,8.18878406456993,6.734987181237344,6.274322576072985,5.751971818693597,5.354416383736028,0.7021104070348406,42,0.7893617021276595,1.1523570929900575,0.056426076305403076,,,,,,,,,False
2020-07-31,470,0.5583230213040408,3.123271076462065,262.41182001289917,32.124728193283154,14.060844778693411,11.707279337880564,9.403894522495523,8.186415520520896,6.732165181774576,6.257115355729963,5.753406402615232,5.350217905781994,0.7015075890324506,41,0.8021276595744681,1.0815125701338995,0.021194937168262033,,,,,,,,,False
