date,regime,regime_raw,risk_score,signal_confidence,alert_level_raw,alert_level,transition_score,dp1_5,ddeff_5
2024-11-20,dispersion,dispersion,0.2653045288912025,0.5190385203159604,green,green,0.0379234780158956,-0.004436625415333878,0.8315110494948712
2024-11-21,dispersion,dispersion,0.22032795419052575,0.5758488737933367,green,green,-0.0997948649096913,-0.0029104891444574066,0.656945398811196
2024-11-22,dispersion,dispersion,0.21189484643414885,0.5980584314676043,green,green,-0.15438270564964682,-0.0026568262160285294,0.565067454324101
2024-11-25,dispersion,dispersion,0.16939094221759501,0.6616342474144512,green,green,-0.3098578732909479,-0.0009172027497482416,0.3719002684822854
2024-11-26,dispersion,dispersion,0.17464862051015098,0.6507600147281496,green,green,-0.2852259552309778,-0.0014832635299594221,0.3864380945948156
2024-11-27,dispersion,dispersion,0.07256637168141593,0.74268849019234,green,green,-0.5161778160089349,0.00018516547047911502,0.023241768648762928
2024-11-29,dispersion,dispersion,0.09872462259239978,0.7261571728522005,green,green,-0.4745134250009263,-0.00043428886266533295,0.08747357196359928
2024-12-02,dispersion,dispersion,0.08214471629359707,0.7212341360842305,green,green,-0.5013201159322396,-0.0011769785118031506,0.06053749001094744
2024-12-03,dispersion,dispersion,0.10611660593440916,0.723333247820123,green,green,-0.46578984730986644,0.0002902583126616065,-0.11130293668201219
2024-12-04,dispersion,dispersion,0.08753253513794897,0.7336078574174663,green,green,-0.4926452439873663,-0.0003200534968369195,-0.058658944878111186
2024-12-05,dispersion,dispersion,0.0737116085372202,0.7391852202031377,green,green,-0.5087557204505727,-0.0005752107045980115,-0.01361459384729713
2024-12-06,dispersion,dispersion,0.10983862571577305,0.7113494369344914,green,green,-0.4427645547300091,-0.0015950498701366167,0.08040048057745608
2024-12-09,dispersion,dispersion,0.13586673607496097,0.6738430348787801,green,green,-0.3731272091941904,-0.00230932516508775,0.21585877105718865
2024-12-10,dispersion,dispersion,0.15658511192087454,0.6632611459115192,green,green,-0.32329890923252297,-0.0025506783701503277,0.2513317515296798
2024-12-11,dispersion,dispersion,0.12555960437272254,0.6942735599552717,green,green,-0.4007886018169043,-0.002038732859883513,0.1339071133286538
2024-12-12,dispersion,dispersion,0.09916710046850599,0.7179050983051005,green,green,-0.45620369434806773,-0.0011229829736377206,0.08064992611919308
2024-12-13,dispersion,dispersion,0.12058823529411765,0.7020889666398376,green,green,-0.41265818197400106,-0.0008307767483126394,0.1786616334832516
2024-12-16,dispersion,dispersion,0.06330036439354503,0.7424971376694942,green,green,-0.5430242291564387,6.908504887875866e-05,0.03218271587377686
