as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2024-03-07,hermes_10000,Hermes,10000.0,balanced,21861.17346678816,21860.89230257948,11735.03684401978,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-03-08,hermes_10000,Hermes,10000.0,balanced,21987.71034370723,21987.358980661702,11875.230699184925,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-03-11,hermes_10000,Hermes,10000.0,defense,22486.408082051763,22459.880138594595,22459.880138594595,3,3,
2024-03-12,hermes_10000,Hermes,10000.0,defense,22459.880138594595,22459.880138594595,22459.880138594595,0,0,
2024-03-13,hermes_10000,Hermes,10000.0,defense,22459.880138594595,22459.880138594595,22459.880138594595,0,0,
2024-03-14,hermes_10000,Hermes,10000.0,balanced,22459.880138594595,22434.05127643521,12102.506412681696,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-03-15,hermes_10000,Hermes,10000.0,balanced,22252.652813845845,22252.652813845845,12102.506412681696,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-03-18,hermes_10000,Hermes,10000.0,balanced,22052.094413899882,22050.46533977407,11906.501909380122,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-03-19,hermes_10000,Hermes,10000.0,defense,21054.09667139784,21031.227684492795,21031.227684492795,3,3,
2024-03-20,hermes_10000,Hermes,10000.0,defense,21031.227684492795,21031.227684492795,21031.227684492795,0,0,
2024-03-21,hermes_10000,Hermes,10000.0,defense,21031.227684492795,21031.227684492795,21031.227684492795,0,0,
2024-03-22,hermes_10000,Hermes,10000.0,defense,21031.227684492795,21031.227684492795,21031.227684492795,0,0,
2024-03-25,hermes_10000,Hermes,10000.0,defense,21031.227684492795,21031.227684492795,21031.227684492795,0,0,
2024-03-26,hermes_10000,Hermes,10000.0,balanced,21031.227684492795,21007.041772655626,11332.677037788942,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-03-27,hermes_10000,Hermes,10000.0,balanced,20862.49821366836,20862.49821366836,11332.677037788942,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-03-28,hermes_10000,Hermes,10000.0,balanced,21034.842063862518,21034.842063862518,11332.677037788942,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-04-01,hermes_10000,Hermes,10000.0,balanced,20929.816368365508,20929.816368365508,11332.677037788942,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-04-02,hermes_10000,Hermes,10000.0,balanced,20348.7855620333,20347.98545759283,11011.835157160582,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-04-03,hermes_10000,Hermes,10000.0,defense,20444.017757152025,20420.43730065205,20420.43730065205,3,3,
2024-04-04,hermes_10000,Hermes,10000.0,defense,20420.43730065205,20420.43730065205,20420.43730065205,0,0,
2024-04-05,hermes_10000,Hermes,10000.0,defense,20420.43730065205,20420.43730065205,20420.43730065205,0,0,
2024-04-08,hermes_10000,Hermes,10000.0,defense,20420.43730065205,20420.43730065205,20420.43730065205,0,0,
2024-04-09,hermes_10000,Hermes,10000.0,balanced,20420.43730065205,20396.9537977563,11003.552639456357,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-04-10,hermes_10000,Hermes,10000.0,balanced,20542.64693688456,20542.64693688456,11003.552639456357,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-04-11,hermes_10000,Hermes,10000.0,balanced,20454.29580567604,20454.29580567604,11003.552639456357,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-04-12,hermes_10000,Hermes,10000.0,balanced,19851.334657432264,19850.643227892102,10726.289393852117,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-04-15,hermes_10000,Hermes,10000.0,defense,19320.467861694735,19298.982415525126,19298.982415525126,3,3,
2024-04-16,hermes_10000,Hermes,10000.0,defense,19298.982415525126,19298.982415525126,19298.982415525126,0,0,
2024-04-17,hermes_10000,Hermes,10000.0,defense,19298.982415525126,19298.982415525126,19298.982415525126,0,0,
2024-04-18,hermes_10000,Hermes,10000.0,defense,19298.982415525126,19298.982415525126,19298.982415525126,0,0,
2024-04-19,hermes_10000,Hermes,10000.0,defense,19298.982415525126,19298.982415525126,19298.982415525126,0,0,
2024-04-22,hermes_10000,Hermes,10000.0,defense,19298.982415525126,19298.982415525126,19298.982415525126,0,0,
2024-04-23,hermes_10000,Hermes,10000.0,balanced,19298.982415525126,19276.788585747272,10399.256674605715,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-04-24,hermes_10000,Hermes,10000.0,balanced,18993.07856094965,18993.07856094965,10399.256674605715,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-04-25,hermes_10000,Hermes,10000.0,balanced,18990.89336734601,18990.89336734601,10399.256674605715,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-04-26,hermes_10000,Hermes,10000.0,balanced,18863.567930378696,18863.26791123102,10278.948996388553,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-04-29,hermes_10000,Hermes,10000.0,balanced,18925.83283260994,18925.83283260994,10278.948996388553,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-04-30,hermes_10000,Hermes,10000.0,balanced,18413.75992437947,18413.289930789237,10090.481566704733,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-05-01,hermes_10000,Hermes,10000.0,balanced,18295.64548737827,18295.296250259635,9950.437482131172,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-05-02,hermes_10000,Hermes,10000.0,balanced,18391.01977651114,18391.01977651114,9950.437482131172,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-03,hermes_10000,Hermes,10000.0,defense,18842.441895243788,18820.211884211007,18820.211884211007,3,3,
2024-05-06,hermes_10000,Hermes,10000.0,defense,18820.211884211007,18820.211884211007,18820.211884211007,0,0,
2024-05-07,hermes_10000,Hermes,10000.0,defense,18820.211884211007,18820.211884211007,18820.211884211007,0,0,
2024-05-08,hermes_10000,Hermes,10000.0,balanced,18820.211884211007,18798.568640544167,10141.271173807101,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-05-09,hermes_10000,Hermes,10000.0,balanced,19102.37779475481,19102.37779475481,10141.271173807101,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-10,hermes_10000,Hermes,10000.0,balanced,18753.222949208957,18753.222949208957,10141.271173807101,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-13,hermes_10000,Hermes,10000.0,balanced,18963.713290713727,18963.713290713727,10141.271173807101,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-14,hermes_10000,Hermes,10000.0,balanced,18743.608281551424,18743.608281551424,10141.271173807101,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-15,hermes_10000,Hermes,10000.0,balanced,19393.344295605257,19392.445069785055,10500.062276067312,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-05-16,hermes_10000,Hermes,10000.0,balanced,19254.655612633018,19254.655612633018,10500.062276067312,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-17,hermes_10000,Hermes,10000.0,balanced,19609.467797741087,19609.467797741087,10500.062276067312,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-20,hermes_10000,Hermes,10000.0,balanced,20594.06568618701,20592.714388410186,11039.230089018056,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-05-21,hermes_10000,Hermes,10000.0,balanced,20526.635962320855,20526.3607584032,11149.036452162698,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-05-22,hermes_10000,Hermes,10000.0,balanced,20407.421176670974,20407.421176670974,11149.036452162698,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-23,hermes_10000,Hermes,10000.0,balanced,20351.09303556043,20350.82826563339,11042.863711421754,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-05-24,hermes_10000,Hermes,10000.0,balanced,20275.918478357205,20275.562946311853,10900.295361235758,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-05-27,hermes_10000,Hermes,10000.0,balanced,20488.79520275469,20488.79520275469,10900.295361235758,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-05-28,hermes_10000,Hermes,10000.0,defense,20362.42409209621,20338.76877026906,20338.76877026906,3,3,
2024-05-29,hermes_10000,Hermes,10000.0,defense,20338.76877026906,20338.76877026906,20338.76877026906,0,0,
2024-05-30,hermes_10000,Hermes,10000.0,defense,20338.76877026906,20338.76877026906,20338.76877026906,0,0,
2024-05-31,hermes_10000,Hermes,10000.0,defense,20338.76877026906,20338.76877026906,20338.76877026906,0,0,
2024-06-03,hermes_10000,Hermes,10000.0,defense,20338.76877026906,20338.76877026906,20338.76877026906,0,0,
2024-06-04,hermes_10000,Hermes,10000.0,defense,20338.76877026906,20338.76877026906,20338.76877026906,0,0,
2024-06-05,hermes_10000,Hermes,10000.0,defense,20338.76877026906,20338.76877026906,20338.76877026906,0,0,
2024-06-06,hermes_10000,Hermes,10000.0,defense,20338.76877026906,20338.76877026906,20338.76877026906,0,0,
2024-06-07,hermes_10000,Hermes,10000.0,risk_on,20338.76877026906,20303.175924921088,6066.037785732747,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-06-10,hermes_10000,Hermes,10000.0,risk_on,20240.894022635002,20240.894022635002,6066.037785732747,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-11,hermes_10000,Hermes,10000.0,risk_on,19635.346675017146,19634.967690968897,5914.065182384644,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-06-12,hermes_10000,Hermes,10000.0,balanced,19923.454626475213,19911.34312568543,10746.553997506835,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-06-13,hermes_10000,Hermes,10000.0,balanced,19654.39920792755,19654.39920792755,10746.553997506835,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-14,hermes_10000,Hermes,10000.0,balanced,19569.51089012283,19569.51089012283,10746.553997506835,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-17,hermes_10000,Hermes,10000.0,balanced,19627.25302438371,19627.25302438371,10746.553997506835,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-18,hermes_10000,Hermes,10000.0,risk_on,19452.018813531653,19439.74144264803,5823.328273175876,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-06-19,hermes_10000,Hermes,10000.0,risk_on,19464.90342744995,19464.90342744995,5823.328273175876,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-20,hermes_10000,Hermes,10000.0,risk_on,19354.454674767596,19354.454674767596,5823.328273175876,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-21,hermes_10000,Hermes,10000.0,risk_on,19310.575598799267,19310.575598799267,5823.328273175876,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-24,hermes_10000,Hermes,10000.0,risk_on,18683.316298214315,18682.73118400855,5588.697476663915,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-06-25,hermes_10000,Hermes,10000.0,risk_on,18985.476093912697,18985.476093912697,5588.697476663915,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-26,hermes_10000,Hermes,10000.0,risk_on,18865.3303217648,18865.3303217648,5588.697476663915,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-06-27,hermes_10000,Hermes,10000.0,risk_on,19334.39988051346,19333.656348459048,5885.366766374985,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-06-28,hermes_10000,Hermes,10000.0,risk_on,18920.42046313242,18920.08600282311,5751.248182341402,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-07-01,hermes_10000,Hermes,10000.0,risk_on,19393.392354883163,19393.392354883163,5751.248182341402,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-02,hermes_10000,Hermes,10000.0,risk_on,19448.672410322193,19448.127056422833,5968.844388186519,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-07-03,hermes_10000,Hermes,10000.0,risk_on,18838.068864925786,18837.64692965345,5799.6483439798285,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-07-04,hermes_10000,Hermes,10000.0,risk_on,17963.75929101426,17962.975625279476,5485.39838433121,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-07-05,hermes_10000,Hermes,10000.0,risk_on,17972.31830070207,17971.59782672515,5484.181809442025,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-07-08,hermes_10000,Hermes,10000.0,risk_on,18142.107398844084,18142.107398844084,5484.181809442025,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-09,hermes_10000,Hermes,10000.0,risk_on,18376.610119730285,18376.610119730285,5484.181809442025,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-10,hermes_10000,Hermes,10000.0,risk_on,18394.014125948663,18394.014125948663,5484.181809442025,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-11,hermes_10000,Hermes,10000.0,risk_on,18216.82662068872,18216.82662068872,5484.181809442025,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-12,hermes_10000,Hermes,10000.0,defense,18396.23026401495,18363.950142878515,18363.950142878515,3,3,
2024-07-15,hermes_10000,Hermes,10000.0,defense,18363.950142878515,18363.950142878515,18363.950142878515,0,0,
2024-07-16,hermes_10000,Hermes,10000.0,defense,18363.950142878515,18363.950142878515,18363.950142878515,0,0,
2024-07-17,hermes_10000,Hermes,10000.0,balanced,18363.950142878515,18342.831600214202,9895.414534490086,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-07-18,hermes_10000,Hermes,10000.0,balanced,18401.039842431197,18401.039842431197,9895.414534490086,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-19,hermes_10000,Hermes,10000.0,balanced,18736.89602366416,18736.89602366416,9895.414534490086,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-22,hermes_10000,Hermes,10000.0,balanced,18840.642020514126,18839.87856865251,10200.031827273244,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-07-23,hermes_10000,Hermes,10000.0,risk_on,18716.130510269715,18704.667528584232,5603.37617139543,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-07-24,hermes_10000,Hermes,10000.0,risk_on,18579.99112822554,18579.392903696527,5581.15828955463,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-07-25,hermes_10000,Hermes,10000.0,risk_on,18338.02624191826,18337.41215586868,5565.758384751579,2,2,"BTC-USD,ETH-USD,SOL-USD"
2024-07-26,hermes_10000,Hermes,10000.0,risk_on,18838.810492078104,18838.810492078104,5565.758384751579,0,0,"BTC-USD,ETH-USD,SOL-USD"
2024-07-29,hermes_10000,Hermes,10000.0,defense,18773.91222309432,18740.891838498468,18740.891838498468,3,3,
2024-07-30,hermes_10000,Hermes,10000.0,defense,18740.891838498468,18740.891838498468,18740.891838498468,0,0,
2024-07-31,hermes_10000,Hermes,10000.0,defense,18740.891838498468,18740.891838498468,18740.891838498468,0,0,
2024-08-01,hermes_10000,Hermes,10000.0,risk_on,18740.891838498468,18708.095277781096,5589.470990832168,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-08-02,hermes_10000,Hermes,10000.0,risk_on,17820.456019124504,17820.170272150128,5474.886454107221,1,1,"BTC-USD,ETH-USD,SOL-USD"
2024-08-05,hermes_10000,Hermes,10000.0,risk_on,15994.889634043488,15993.198585133749,4796.775841303309,3,3,"BTC-USD,ETH-USD,SOL-USD"
2024-08-06,hermes_10000,Hermes,10000.0,defense,16538.35031385154,16508.99637767017,16508.99637767017,3,3,
2024-08-07,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-08,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-09,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-12,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-13,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-14,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-15,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-16,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-19,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-20,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-21,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-22,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-23,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-26,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-27,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-28,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-29,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-08-30,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-02,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-03,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-04,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-05,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-06,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-09,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-10,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-11,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-12,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-13,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-16,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-17,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-18,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-19,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-20,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-23,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-24,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-25,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-26,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-27,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-09-30,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-01,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-02,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-03,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-04,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-07,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-08,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-09,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-10,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-11,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-14,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-15,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-16,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-17,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-18,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
2024-10-21,hermes_10000,Hermes,10000.0,defense,16508.99637767017,16508.99637767017,16508.99637767017,0,0,
