as_of_date,scenario_id,alias,capital_brl,market_state,ticket_id,ticker,side,notional_brl,reason
2023-08-14,hephaestus_1000,Hephaestus,1000.0,risk_on,8d4b4584-9131-4ce0-93ef-44e630f60fa9,ETH-USD,buy,89.67022781283322,historical_hephaestus_risk_on
2023-08-14,hephaestus_1000,Hephaestus,1000.0,risk_on,b87d4315-1881-45b6-988a-73cd14dd63a9,ITUB4.SA,sell,73.07397896390825,historical_hephaestus_risk_on
2023-08-17,hephaestus_1000,Hephaestus,1000.0,balanced,5939e224-37db-4f15-948c-6b78c85e9860,BTC-USD,sell,145.93024338864961,historical_hephaestus_balanced
2023-08-17,hephaestus_1000,Hephaestus,1000.0,balanced,9b1c9a98-593b-4b83-a72c-d990a9352941,ETH-USD,sell,74.58053815058452,historical_hephaestus_balanced
2023-08-17,hephaestus_1000,Hephaestus,1000.0,balanced,261e2fab-94df-45ec-9832-c7ba47fdb08e,ITUB4.SA,buy,64.88775012943344,historical_hephaestus_balanced
2023-08-24,hephaestus_1000,Hephaestus,1000.0,balanced,6a8ea3b7-95d0-48f3-bd60-9a137c15660e,PETR4.SA,sell,63.82922416243704,historical_hephaestus_balanced
2023-09-01,hephaestus_1000,Hephaestus,1000.0,defense,30bb5854-58af-4705-9cb4-b33b29d40aa6,BTC-USD,sell,292.81379703037334,historical_hephaestus_defense
2023-09-01,hephaestus_1000,Hephaestus,1000.0,defense,9bf33fea-82cc-446d-adf2-c78aacd4a365,ETH-USD,sell,146.34547633809103,historical_hephaestus_defense
2023-09-01,hephaestus_1000,Hephaestus,1000.0,defense,4008ab16-0a1f-4492-a317-a82c484725c2,ITUB4.SA,sell,229.58871526606322,historical_hephaestus_defense
2023-09-01,hephaestus_1000,Hephaestus,1000.0,defense,4aaeb46d-7b0f-40a8-95b4-431240e59aef,PETR4.SA,sell,226.8597908129845,historical_hephaestus_defense
2023-09-06,hephaestus_1000,Hephaestus,1000.0,balanced,82a5c97c-6cc9-4ab2-a43a-bd72abaaeabb,BTC-USD,buy,302.3699748623285,historical_hephaestus_balanced
2023-09-06,hephaestus_1000,Hephaestus,1000.0,balanced,acb9c074-d1c1-4a60-8759-9ee123e4ea5b,ETH-USD,buy,151.18498743116425,historical_hephaestus_balanced
2023-09-06,hephaestus_1000,Hephaestus,1000.0,balanced,ca2873ee-2eb4-4c39-aa15-30602d065e1e,ITUB4.SA,buy,226.77748114674634,historical_hephaestus_balanced
2023-09-06,hephaestus_1000,Hephaestus,1000.0,balanced,5a14f9ff-963e-4ee7-b41c-2e84a457b650,PETR4.SA,buy,226.77748114674634,historical_hephaestus_balanced
2023-09-13,hephaestus_1000,Hephaestus,1000.0,defense,cbacd6b0-05f5-46e7-ac6a-e371db953b41,BTC-USD,sell,307.7935120541763,historical_hephaestus_defense
2023-09-13,hephaestus_1000,Hephaestus,1000.0,defense,0352249d-fdde-45b9-961f-131c10019647,ETH-USD,sell,148.82160823812157,historical_hephaestus_defense
2023-09-13,hephaestus_1000,Hephaestus,1000.0,defense,669463dc-6ec9-47bc-a44a-10798190b4db,ITUB4.SA,sell,231.9866759891201,historical_hephaestus_defense
2023-09-13,hephaestus_1000,Hephaestus,1000.0,defense,82170851-11ba-4cfb-9e79-0c8ab8b49aea,PETR4.SA,sell,227.86452916690268,historical_hephaestus_defense
2023-09-14,hephaestus_1000,Hephaestus,1000.0,balanced,ca353ab7-787e-4f5c-9bd1-8e4079a02874,BTC-USD,buy,303.70251035652433,historical_hephaestus_balanced
2023-09-14,hephaestus_1000,Hephaestus,1000.0,balanced,99e4f729-076d-4841-afeb-dd794b6c9c25,ETH-USD,buy,151.85125517826216,historical_hephaestus_balanced
2023-09-14,hephaestus_1000,Hephaestus,1000.0,balanced,b0a3ed17-525e-4d58-8ea8-4b69c6ccb8cf,ITUB4.SA,buy,227.77688276739323,historical_hephaestus_balanced
2023-09-14,hephaestus_1000,Hephaestus,1000.0,balanced,3add8bc4-0006-41bb-8e28-db8636a11862,PETR4.SA,buy,227.77688276739323,historical_hephaestus_balanced
2023-10-06,hephaestus_1000,Hephaestus,1000.0,risk_on,55364c16-9bc5-4baf-a164-708deca68aa0,BTC-USD,buy,159.94970908188935,historical_hephaestus_risk_on
2023-10-06,hephaestus_1000,Hephaestus,1000.0,risk_on,e54f370e-6430-4eaf-8caf-95ccd6f1c801,ETH-USD,buy,86.30536615152894,historical_hephaestus_risk_on
2023-10-06,hephaestus_1000,Hephaestus,1000.0,risk_on,4ddcbcce-e53e-429f-9357-4d32dd2e2b53,ITUB4.SA,sell,69.33956895441611,historical_hephaestus_risk_on
2023-10-17,hephaestus_1000,Hephaestus,1000.0,balanced,a53be842-356d-47a0-8320-d7afe0824e11,BTC-USD,sell,175.00420328740324,historical_hephaestus_balanced
2023-10-17,hephaestus_1000,Hephaestus,1000.0,balanced,f129ac66-2197-497b-afcd-05800ac392a9,ETH-USD,sell,71.84088180659163,historical_hephaestus_balanced
2023-10-17,hephaestus_1000,Hephaestus,1000.0,balanced,9e592d73-ff1b-4055-b792-03209fe68fb2,ITUB4.SA,buy,74.12201096804478,historical_hephaestus_balanced
