id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2021-03-31;12396.05237500
SE;Sudeste/Centro-Oeste;2021-03-31;42016.97333333
N;Norte;2021-04-01;5910.01929167
NE;Nordeste;2021-04-01;11633.05212500
S;Sul;2021-04-01;12190.52887500
SE;Sudeste/Centro-Oeste;2021-04-01;40208.08737500
N;Norte;2021-04-02;5535.54241667
NE;Nordeste;2021-04-02;10529.69070833
S;Sul;2021-04-02;9451.67562500
SE;Sudeste/Centro-Oeste;2021-04-02;36281.59200000
N;Norte;2021-04-03;5692.59458333
NE;Nordeste;2021-04-03;10653.76270833
S;Sul;2021-04-03;9928.99816667
SE;Sudeste/Centro-Oeste;2021-04-03;36537.08037500
N;Norte;2021-04-04;5586.52412500
NE;Nordeste;2021-04-04;10318.72504167
S;Sul;2021-04-04;9364.79116667
SE;Sudeste/Centro-Oeste;2021-04-04;34781.38045833
N;Norte;2021-04-05;6150.30145833
NE;Nordeste;2021-04-05;11324.37725000
S;Sul;2021-04-05;12539.33391667
SE;Sudeste/Centro-Oeste;2021-04-05;40335.91995833
N;Norte;2021-04-06;6299.60466667
NE;Nordeste;2021-04-06;11562.27508333
S;Sul;2021-04-06;13119.77062500
SE;Sudeste/Centro-Oeste;2021-04-06;40886.89345833
N;Norte;2021-04-07;6351.75675000
NE;Nordeste;2021-04-07;11665.62629167
S;Sul;2021-04-07;13059.96375000
SE;Sudeste/Centro-Oeste;2021-04-07;40442.06166667
N;Norte;2021-04-08;6145.18250000
NE;Nordeste;2021-04-08;11614.64354167
S;Sul;2021-04-08;13278.35416667
SE;Sudeste/Centro-Oeste;2021-04-08;40211.91658333
N;Norte;2021-04-09;6147.78291667
NE;Nordeste;2021-04-09;11615.48125000
S;Sul;2021-04-09;13706.79595833
SE;Sudeste/Centro-Oeste;2021-04-09;40614.25308333
N;Norte;2021-04-10;5995.81775000
NE;Nordeste;2021-04-10;10987.59945833
S;Sul;2021-04-10;12373.32370833
SE;Sudeste/Centro-Oeste;2021-04-10;38035.18645833
N;Norte;2021-04-11;5768.23820833
NE;Nordeste;2021-04-11;10272.05920833
S;Sul;2021-04-11;10731.02800000
SE;Sudeste/Centro-Oeste;2021-04-11;34965.50137500
N;Norte;2021-04-12;6311.35316667
