id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
SE;SUDESTE;2022-02-10;204615.32812500;99874.28125000;48.81079865
S;SUL;2022-02-10;19657.33007813;6781.36181641;34.49789810
NE;NORDESTE;2022-02-11;51691.22656250;39121.37890625;75.68280029
N;NORTE;2022-02-11;15302.39648438;14094.36328125;92.10559845
SE;SUDESTE;2022-02-11;204615.32812500;101371.85156250;49.54259872
S;SUL;2022-02-11;19657.33007813;6724.38916016;34.20800018
NE;NORDESTE;2022-02-12;51691.22656250;39507.14843750;76.42910004
N;NORTE;2022-02-12;15302.39648438;14161.11816406;92.54180145
SE;SUDESTE;2022-02-12;204615.32812500;103017.72656250;50.34700012
S;SUL;2022-02-12;19657.33007813;6673.99023438;33.95169830
NE;NORDESTE;2022-02-13;51691.22656250;39835.85937500;77.06500244
N;NORTE;2022-02-13;15302.39648438;14286.46484375;93.36100006
SE;SUDESTE;2022-02-13;204615.32812500;104658.39062500;51.14889908
S;SUL;2022-02-13;19657.33007813;6656.73095703;33.86389923
NE;NORDESTE;2022-02-14;51691.22656250;40120.03906250;77.61479950
N;NORTE;2022-02-14;15302.39648438;14381.49023438;93.98190308
SE;SUDESTE;2022-02-14;204615.32812500;105973.30468750;51.79150009
S;SUL;2022-02-14;19657.33007813;6547.32421875;33.30730057
NE;NORDESTE;2022-02-15;51691.22656250;40371.32812500;78.10089874
N;NORTE;2022-02-15;15302.39648438;14468.71972656;94.55200195
SE;SUDESTE;2022-02-15;204615.32812500;107361.19531250;52.46979904
S;SUL;2022-02-15;19657.33007813;6423.14697266;32.67559814
NE;NORDESTE;2022-02-16;51691.22656250;40494.89062500;78.33999634
N;NORTE;2022-02-16;15302.39648438;14535.43164063;94.98789978
SE;SUDESTE;2022-02-16;204615.32812500;108374.75781250;52.96509933
S;SUL;2022-02-16;19657.33007813;6308.60693359;32.09289932
NE;NORDESTE;2022-02-17;51691.22656250;40693.32031250;78.72380066
N;NORTE;2022-02-17;15302.39648438;14560.53417969;95.15200043
SE;SUDESTE;2022-02-17;204615.32812500;109364.99218750;53.44910049
S;SUL;2022-02-17;19657.33007813;6210.24023438;31.59250069
NE;NORDESTE;2022-02-18;51691.22656250;40875.14062500;79.07559967
N;NORTE;2022-02-18;15302.39648438;14600.66796875;95.41429901
SE;SUDESTE;2022-02-18;204615.32812500;110610.83593750;54.05789948
S;SUL;2022-02-18;19657.33007813;6142.58886719;31.24830055
NE;NORDESTE;2022-02-19;51691.22656250;41111.31640625;79.53250122
N;NORTE;2022-02-19;15302.39648438;14674.00292969;95.89350128
SE;SUDESTE;2022-02-19;204615.32812500;111857.09375000;54.66699982
S;SUL;2022-02-19;19657.33007813;6134.67089844;31.20809937
NE;NORDESTE;2022-02-20;51691.22656250;41358.10937500;80.00990295
N;NORTE;2022-02-20;15302.39648438;14769.28808594;96.51619720
SE;SUDESTE;2022-02-20;204615.32812500;113081.59375000;55.26549911
S;SUL;2022-02-20;19657.33007813;6104.35791016;31.05389977
NE;NORDESTE;2022-02-21;51691.22656250;41636.98828125;80.54940033
N;NORTE;2022-02-21;15302.39648438;14851.64355469;97.05439758
SE;SUDESTE;2022-02-21;204615.32812500;113907.10937500;55.66889954
S;SUL;2022-02-21;19657.33007813;5990.05175781;30.47240067
NE;NORDESTE;2022-02-22;51691.22656250;41764.55859375;80.79620361
N;NORTE;2022-02-22;15302.39648438;14894.01074219;97.33119965
SE;SUDESTE;2022-02-22;204615.32812500;114865.49218750;56.13729858
S;SUL;2022-02-22;19657.33007813;5886.21386719;29.94409943
NE;NORDESTE;2022-02-23;51691.22656250;41878.71093750;81.01709747
N;NORTE;2022-02-23;15302.39648438;14915.93457031;97.47450256
SE;SUDESTE;2022-02-23;204615.32812500;115534.81250000;56.46440125
S;SUL;2022-02-23;19657.33007813;5772.16894531;29.36400032
NE;NORDESTE;2022-02-24;51691.22656250;41936.10937500;81.12809753
N;NORTE;2022-02-24;15302.39648438;14954.12890625;97.72409821
SE;SUDESTE;2022-02-24;204615.32812500;116274.42968750;56.82590103
S;SUL;2022-02-24;19657.33007813;5683.92382813;28.91500092
NE;NORDESTE;2022-02-25;51691.22656250;42013.99218750;81.27880096
N;NORTE;2022-02-25;15302.39648438;14985.25585938;97.92749786
SE;SUDESTE;2022-02-25;204615.32812500;117039.23437500;57.19960022
S;SUL;2022-02-25;19657.33007813;5594.05908203;28.45789909
NE;NORDESTE;2022-02-26;51691.22656250;42100.26953125;81.44570160
N;NORTE;2022-02-26;15302.39648438;14987.74804688;97.94380188
SE;SUDESTE;2022-02-26;204615.32812500;117757.91406250;57.55089951
S;SUL;2022-02-26;19657.33007813;5591.10595703;28.44289970
NE;NORDESTE;2022-02-27;51691.22656250;42207.48437500;81.65309906
N;NORTE;2022-02-27;15302.39648438;14994.03808594;97.98490143
SE;SUDESTE;2022-02-27;204615.32812500;118520.50000000;57.92359924
S;SUL;2022-02-27;19657.33007813;5592.36914063;28.44930077
NE;NORDESTE;2022-02-28;51691.22656250;42320.25390625;81.87129974
N;NORTE;2022-02-28;15302.39648438;14972.59179688;97.84480286
SE;SUDESTE;2022-02-28;204615.32812500;118892.42187500;58.10530090
S;SUL;2022-02-28;19657.33007813;5551.79687500;28.24290085
NE;NORDESTE;2022-03-01;51691.22656250;42388.92578125;82.00409698
N;NORTE;2022-03-01;15302.39648438;14948.74804688;97.68890381
SE;SUDESTE;2022-03-01;204615.32812500;119275.01562500;58.29230118
S;SUL;2022-03-01;19657.33007813;5536.66601563;28.16589928
NE;NORDESTE;2022-03-02;51691.22656250;42556.03125000;82.32740021
N;NORTE;2022-03-02;15302.39648438;14906.56738281;97.41329956
SE;SUDESTE;2022-03-02;204615.32812500;119546.50781250;58.42499924
S;SUL;2022-03-02;19657.33007813;5486.35888672;27.90999985
NE;NORDESTE;2022-03-03;51691.22656250;42665.43359375;82.53900146
N;NORTE;2022-03-03;15302.39648438;14870.13671875;97.17520142
SE;SUDESTE;2022-03-03;204615.32812500;119887.98437500;58.59189987
S;SUL;2022-03-03;19657.33007813;5433.31494141;27.64010048
NE;NORDESTE;2022-03-04;51691.22656250;42814.04687500;82.82649994
N;NORTE;2022-03-04;15302.39648438;14864.53320313;97.13860321
SE;SUDESTE;2022-03-04;204615.32812500;120335.96875000;58.81079865
S;SUL;2022-03-04;19657.33007813;5382.39404297;27.38109970
NE;NORDESTE;2022-03-05;51691.22656250;42980.81640625;83.14920044
N;NORTE;2022-03-05;15302.39648438;14895.99804688;97.34420013
SE;SUDESTE;2022-03-05;204615.32812500;120759.30468750;59.01770020
S;SUL;2022-03-05;19657.33007813;5404.02294922;27.49110031
NE;NORDESTE;2022-03-06;51691.22656250;43138.48437500;83.45420074
N;NORTE;2022-03-06;15302.39648438;14952.64062500;97.71440125
SE;SUDESTE;2022-03-06;204615.32812500;121304.03125000;59.28390121
S;SUL;2022-03-06;19657.33007813;5424.39208984;27.59480095
NE;NORDESTE;2022-03-07;51691.22656250;43287.66406250;83.74279785
N;NORTE;2022-03-07;15302.39648438;14977.10742188;97.87429810
SE;SUDESTE;2022-03-07;204615.32812500;121341.18750000;59.30210114
S;SUL;2022-03-07;19657.33007813;5386.90283203;27.40399933
NE;NORDESTE;2022-03-08;51691.22656250;43464.51953125;84.08489990
N;NORTE;2022-03-08;15302.39648438;15020.02636719;98.15470123
SE;SUDESTE;2022-03-08;204615.32812500;121447.96093750;59.35430145
S;SUL;2022-03-08;19657.33007813;5350.78222656;27.22030067
NE;NORDESTE;2022-03-09;51691.22656250;43636.12890625;84.41690063
N;NORTE;2022-03-09;15302.39648438;15064.42871094;98.44490051
SE;SUDESTE;2022-03-09;204615.32812500;121516.99218750;59.38800049
S;SUL;2022-03-09;19657.33007813;5336.11621094;27.14570045
NE;NORDESTE;2022-03-10;51691.22656250;43843.57812500;84.81819916
N;NORTE;2022-03-10;15302.39648438;15084.74218750;98.57759857
SE;SUDESTE;2022-03-10;204615.32812500;121652.51562500;59.45429993
S;SUL;2022-03-10;19657.33007813;5333.35595703;27.13159943
NE;NORDESTE;2022-03-11;51691.22656250;44064.28515625;85.24520111
N;NORTE;2022-03-11;15302.39648438;15081.13574219;98.55410004
SE;SUDESTE;2022-03-11;204615.32812500;121785.73437500;59.51940155
S;SUL;2022-03-11;19657.33007813;5382.28710938;27.38059998
NE;NORDESTE;2022-03-12;51691.22656250;44305.71093750;85.71219635
N;NORTE;2022-03-12;15302.39648438;15029.92871094;98.21939850
SE;SUDESTE;2022-03-12;204615.32812500;122357.64843750;59.79890060
S;SUL;2022-03-12;19657.33007813;5471.62500000;27.83499908
NE;NORDESTE;2022-03-13;51691.22656250;44582.02343750;86.24680328
N;NORTE;2022-03-13;15302.39648438;15029.30859375;98.21540070
SE;SUDESTE;2022-03-13;204615.32812500;122980.72656250;60.10340118
S;SUL;2022-03-13;19657.33007813;5567.01123047;28.32029915
NE;NORDESTE;2022-03-14;51691.22656250;44918.23828125;86.89720154
N;NORTE;2022-03-14;15302.39648438;15018.35742188;98.14379883
SE;SUDESTE;2022-03-14;204615.32812500;123402.60156250;60.30960083
S;SUL;2022-03-14;19657.33007813;5649.82519531;28.74160004
NE;NORDESTE;2022-03-15;51691.22656250;45209.30078125;87.46029663
N;NORTE;2022-03-15;15302.39648438;15040.28125000;98.28710175
SE;SUDESTE;2022-03-15;204615.32812500;124061.09375000;60.63140106
S;SUL;2022-03-15;19657.33007813;5749.21484375;29.24720001
NE;NORDESTE;2022-03-16;51691.22656250;45417.42968750;87.86289978
N;NORTE;2022-03-16;15302.39648438;15018.81445313;98.14679718
SE;SUDESTE;2022-03-16;204615.32812500;124729.51562500;60.95809937
S;SUL;2022-03-16;19657.33007813;5930.59277344;30.16990089
NE;NORDESTE;2022-03-17;51691.22656250;45691.57421875;88.39330292
N;NORTE;2022-03-17;15302.39648438;15042.07324219;98.29879761
SE;SUDESTE;2022-03-17;204615.32812500;125223.18750000;61.19929886
S;SUL;2022-03-17;19657.33007813;6107.45605469;31.06959915
NE;NORDESTE;2022-03-18;51691.22656250;45926.70703125;88.84819794
N;NORTE;2022-03-18;15302.39648438;15056.71875000;98.39450073
SE;SUDESTE;2022-03-18;204615.32812500;125580.17187500;61.37379837
S;SUL;2022-03-18;19657.33007813;6266.82617188;31.88039970
NE;NORDESTE;2022-03-19;51691.22656250;46147.20312500;89.27469635
N;NORTE;2022-03-19;15302.39648438;15031.53417969;98.22989655
SE;SUDESTE;2022-03-19;204615.32812500;126143.81250000;61.64920044
S;SUL;2022-03-19;19657.33007813;6489.10693359;33.01110077
NE;NORDESTE;2022-03-20;51691.22656250;46341.75781250;89.65110016
N;NORTE;2022-03-20;15302.39648438;15029.24609375;98.21499634
SE;SUDESTE;2022-03-20;204615.32812500;126889.73437500;62.01380157
S;SUL;2022-03-20;19657.33007813;6712.27197266;34.14640045
NE;NORDESTE;2022-03-21;51691.22656250;46587.62109375;90.12680054
N;NORTE;2022-03-21;15302.39648438;15010.53125000;98.09269714
SE;SUDESTE;2022-03-21;204615.32812500;127224.64843750;62.17750168
S;SUL;2022-03-21;19657.33007813;6898.42382813;35.09339905
NE;NORDESTE;2022-03-22;51691.22656250;46832.26953125;90.59999847
N;NORTE;2022-03-22;15302.39648438;15004.95800781;98.05629730
SE;SUDESTE;2022-03-22;204615.32812500;127515.51562500;62.31959915
S;SUL;2022-03-22;19657.33007813;7030.79296875;35.76679993
NE;NORDESTE;2022-03-23;51691.22656250;47134.42968750;91.18460083
N;NORTE;2022-03-23;15302.39648438;14996.69824219;98.00229645
SE;SUDESTE;2022-03-23;204615.32812500;127701.34375000;62.41040039
S;SUL;2022-03-23;19657.33007813;7162.80712891;36.43840027
NE;NORDESTE;2022-03-24;51691.22656250;47381.22656250;91.66200256
N;NORTE;2022-03-24;15302.39648438;14976.59277344;97.87090302
SE;SUDESTE;2022-03-24;204615.32812500;127889.87500000;62.50260162
S;SUL;2022-03-24;19657.33007813;7530.83007813;38.31050110
